HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,ApartmentAge,TotalNearbyFacilities,ParkingToSizeRatio
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,346017,9,5.0,0.9156452775775054
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,150442,30,7.0,0.0
1,2,2,1.0,7.0,3.0,56.0,1997,5,558,61946,19,11.0,0.1003584229390681
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,165486,11,14.0,0.8730853391684902
2,0,6,0.0,1.0,2.0,536.0,2006,5,1743,311504,10,3.0,0.30751577739529545
1,2,2,1.0,7.0,3.0,56.0,1997,5,558,118584,19,11.0,0.1003584229390681
2,0,1,0.0,4.0,1.0,605.0,2007,5,1334,326548,9,5.0,0.4535232383808096
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,143362,11,14.0,1.3951048951048952
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,172566,7,5.0,0.2230769230769231
0,3,1,0.0,3.0,2.0,108.0,2014,2,288,99823,2,5.0,0.375
2,1,4,1.0,5.0,1.0,0.0,1986,4,1131,211504,30,7.0,0.0
2,0,5,5.0,7.0,5.0,1174.0,2014,9,843,305309,2,17.0,1.3926453143534994
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,145132,11,14.0,1.3951048951048952
2,4,7,2.0,2.0,1.0,203.0,2009,5,1160,209734,7,5.0,0.175
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,168141,23,16.0,0.8322981366459627
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,144752,3,8.0,1.4440993788819876
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,389380,3,8.0,1.021978021978022
2,0,1,0.0,4.0,1.0,605.0,2007,5,1334,347787,9,5.0,0.4535232383808096
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,263345,3,8.0,1.021978021978022
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,207079,11,14.0,0.8730853391684902
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,200000,8,5.0,0.5729794933655006
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,85132,23,16.0,0.8322981366459627
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,245132,11,14.0,1.0740242261103634
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,256637,9,5.0,1.4631336405529953
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,207964,10,5.0,0.2021978021978022
2,0,1,0.0,0.0,0.0,203.0,2014,10,914,371681,2,0.0,0.22210065645514224
2,0,1,0.0,4.0,1.0,605.0,2007,5,1629,442477,9,5.0,0.37139349294045426
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,435398,9,5.0,0.35798816568047337
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75920,11,14.0,1.3951048951048952
2,0,1,0.0,4.0,1.0,605.0,2007,5,1273,280530,9,5.0,0.4752553024351925
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,207964,23,16.0,0.5864332603938731
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,371681,9,5.0,0.4079568442346595
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,163716,23,16.0,0.5864332603938731
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,263716,11,14.0,0.8730853391684902
2,3,3,0.0,3.0,2.0,400.0,2015,7,644,286725,1,5.0,0.6211180124223602
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,138938,23,16.0,0.8322981366459627
0,3,7,1.0,4.0,1.0,218.0,2014,1,156,57522,2,6.0,1.3974358974358974
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,302654,10,3.0,0.37960339943342775
2,3,7,0.0,1.0,1.0,1321.0,2015,10,910,391150,1,2.0,1.4516483516483516
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,215176,9,4.0,0.37589670014347204
1,2,2,1.0,7.0,3.0,56.0,1997,5,644,75221,19,11.0,0.08695652173913043
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,476106,9,5.0,0.35798816568047337
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,241592,23,16.0,0.5864332603938731
2,3,7,0.0,1.0,1.0,1321.0,2015,10,914,411504,1,2.0,1.4452954048140043
0,0,4,0.0,3.0,2.0,0.0,1978,3,903,123008,38,5.0,0.0
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,115929,11,14.0,1.3951048951048952
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,269026,9,5.0,1.4631336405529953
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,348672,9,5.0,0.9156452775775054
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,295575,9,4.0,0.37589670014347204
0,3,3,2.0,5.0,0.0,76.0,1985,3,676,61946,31,7.0,0.11242603550295859
2,0,5,5.0,7.0,5.0,1174.0,2014,9,914,309292,2,17.0,1.2844638949671772
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,442477,9,5.0,0.35798816568047337
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,77876,24,17.0,0.0
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,345132,9,5.0,1.4631336405529953
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,263345,3,8.0,1.021978021978022
2,0,1,0.0,0.0,0.0,203.0,2014,10,914,371681,2,0.0,0.22210065645514224
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,323893,9,5.0,0.9156452775775054
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,198230,8,5.0,0.5729794933655006
2,0,1,0.0,2.0,2.0,524.0,2007,4,1419,372566,9,4.0,0.3692741367159972
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,164601,11,14.0,0.8730853391684902
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,109734,11,14.0,1.3951048951048952
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,247787,9,4.0,0.37589670014347204
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,158407,23,16.0,0.5864332603938731
0,1,5,5.0,7.0,5.0,0.0,1992,3,640,126548,24,17.0,0.0
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,172566,8,5.0,0.5729794933655006
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,146017,11,14.0,1.0740242261103634
1,3,0,5.0,5.0,4.0,798.0,2005,7,1184,203539,11,14.0,0.6739864864864865
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,161946,11,14.0,0.8730853391684902
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,183628,23,16.0,0.8322981366459627
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,195575,23,16.0,0.5864332603938731
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,309292,9,4.0,0.37589670014347204
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,331858,9,5.0,1.4631336405529953
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,241592,8,5.0,0.5196936542669585
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,138053,23,16.0,0.5864332603938731
1,3,0,5.0,5.0,4.0,798.0,2005,7,1184,218584,11,14.0,0.6739864864864865
2,0,6,0.0,3.0,2.0,475.0,2008,8,1167,380530,8,5.0,0.4070265638389032
2,0,1,0.0,2.0,2.0,524.0,2007,4,1419,277876,9,4.0,0.3692741367159972
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,63274,24,17.0,0.0
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,258079,3,8.0,1.021978021978022
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,231415,8,5.0,0.5196936542669585
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,141150,11,14.0,1.3951048951048952
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,250176,3,8.0,1.021978021978022
0,3,7,1.0,4.0,1.0,218.0,2014,1,135,56637,2,6.0,1.614814814814815
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,242035,9,5.0,1.4631336405529953
2,0,1,0.0,4.0,1.0,605.0,2007,5,1629,432743,9,5.0,0.37139349294045426
1,3,0,5.0,5.0,4.0,798.0,2005,7,1184,274336,11,14.0,0.6739864864864865
